"","country","capital","lat","lon"
"112","Madagascar","Antananarivo",-18.55,47.31
"113","Macedonia (Former Yugoslav Republic)","Skopje",42.01,21.26
"114","Malawi","Lilongwe",-14,33.48
"115","Malaysia","Kuala Lumpur",3.09,101.41
"116","Maldives","Male",4,73.28
"117","Mali","Bamako",12.34,-7.55
"118","Malta","Valletta",35.54,14.31
"119","Martinique","Fort-de-France",14.36,-61.02
"120","Mauritania","Nouakchott",-20.1,57.3
"121","Mayotte","Mamoudzou",-12.48,45.14
"122","Mexico","Mexico",19.2,-99.1
"123","Micronesia (Federated States of)","Palikir",6.55,158.09
"124","Moldova, Republic of","Chisinau",47.02,28.5
"125","Mozambique","Maputo",-25.58,32.32
"126","Myanmar","Yangon",16.45,96.2
"127","Namibia","Windhoek",-22.35,17.04
"128","Nepal","Kathmandu",27.45,85.2
"129","Netherlands","Amsterdam / The Hague (seat of Government)",52.23,4.54
"130","Netherlands Antilles","Willemstad",12.05,-69
"131","New Caledonia","Noumea",-22.17,166.3
"132","New Zealand","Wellington",-41.19,174.46
"133","Nicaragua","Managua",12.06,-86.2
"134","Niger","Niamey",13.27,2.06
"135","Nigeria","Abuja",9.05,7.32
"136","Norfolk Island","Kingston",-45.2,168.43
"137","North Korea","Pyongyang",39.09,125.3
"138","Northern Mariana Islands","Saipan",15.12,145.45
"139","Norway","Oslo",59.55,10.45
"140","Oman","Masqat",23.37,58.36
"141","Pakistan","Islamabad",33.4,73.1
"142","Palau","Koror",7.2,134.28
"143","Panama","Panama",9,-79.25
"144","Papua New Guinea","Port Moresby",-9.24,147.08
"145","Paraguay","Asuncion",-25.1,-57.3
"146","Peru","Lima",-12,-77
"147","Philippines","Manila",14.4,121.03
"148","Poland","Warsaw",52.13,21
"149","Portugal","Lisbon",38.42,-9.1
"150","Puerto Rico","San Juan",18.28,-66.07
"151","Qatar","Doha",25.15,51.35
"152","Republic of  Korea","Seoul",37.31,126.58
"153","Romania","Bucuresti",44.27,26.1
"154","Russian Federation","Moskva",55.45,37.35
"155","Rawanda","Kigali",-1.59,30.04
"156","Saint Kitts and Nevis","Basseterre",17.17,-62.43
"157","Saint Lucia","Castries",14.02,-60.58
